;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;97.45;97.34;97.6;1.0874753170543245;1.0780510703722637;1.0945733428001403;0.05938816220360867;0.05870136970535238;0.06028232164680958
1;Round 1;27.76671675432006;96.82000000000001;96.68;96.91;2.2037204106648765;2.1830485582351686;2.2189696709314983;0.03981559152140262;0.0374044874286715;0.04232769614442232
2;Round 2;47.809166040571;96.82000000000001;96.65;96.94;3.3245028879907395;3.2995959401130674;3.35612930059433;0.04807805481716885;0.04224995353278962;0.051661395297405564
3;Round 3;62.27610818933133;96.86;96.61;97.08;4.430028361744351;4.400710741678874;4.467812832196554;0.05982432139786423;0.055978349509074335;0.06240121889463131
4;Round 4;72.7182569496619;96.62;96.53;96.72;5.523856180244022;5.478134497006734;5.548153511683146;0.07277764633350763;0.07141114190379355;0.07401670499684963
5;Round 5;80.25582268970699;96.67999999999999;96.47;96.87;6.631993642118243;6.5565664052963255;6.692081570625305;0.08957068811283043;0.08264250584105227;0.09440331988512202
6;Round 6;85.69609316303531;96.28666666666668;96.21;96.43;7.743523185782962;7.657924878597259;7.8094157139460245;0.10479354164067735;0.10440025442141168;0.10520363431027595
7;Round 7;89.6228399699474;95.90000000000002;95.81;95.99;8.865297746658326;8.758276681105295;8.989176539580027;0.12700479014756832;0.12475827819806465;0.13138111265415842
8;Round 8;92.45755071374906;95.42;95.31;95.49;9.961410722467635;9.8264457265536;10.122976636886596;0.15165111702596043;0.14924310322137588;0.15399682220626384
9;Round 9;94.50338091660406;94.80000000000001;94.67;94.95;11.051027341683705;10.90263537565867;11.20944763024648;0.179988849670329;0.17307895215901922;0.18689166190142328
10;Round 10;95.9800901577761;93.71666666666668;93.63;93.79;12.173386410872142;12.024660579363506;12.370811915397644;0.21863080925763922;0.21414804452277245;0.222880871054974
11;Round 11;97.04583020285502;92.71;92.16;92.99;13.26484210226271;13.11523988644282;13.47192125717799;0.25410641786899973;0.2411606363793637;0.268847741725597
12;Round 12;97.81592787377912;91.85333333333334;91.73;92.08;14.367338229550256;14.205988438924154;14.600578395525615;0.28547480909536915;0.28282382291682223;0.289795883475466
13;One_shot;;;;;;;;;;
