;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;92.36000000000001;92.13;92.55;0.15754992961883543;0.15519529183705646;0.16128044128417968;0.6135814398315781;0.6042358481503548;0.6226220020588408
1;Round 1;27.76671675432006;92.88999999999999;92.74;93.03;0.3361628810564677;0.3314182162284851;0.3417438785235087;0.4583521709163138;0.4543649211208871;0.46055952316903054
2;Round 2;47.809166040571;92.99000000000001;92.92;93.13;0.5130181749661764;0.5093178828557332;0.5156529903411865;0.4062794393470101;0.4050214518257912;0.40836396838756317
3;Round 3;62.27610818933133;93.12666666666667;93.07;93.18;0.6914085891511705;0.6896896958351135;0.6937242825826009;0.3865956241146047;0.3860597363177766;0.386916502168838
4;Round 4;72.7182569496619;93.00999999999999;92.9;93.11;0.8711732493506537;0.8661367416381835;0.8761989514033;0.3919711526192671;0.3909464312994734;0.39375159759470757
5;Round 5;80.25582268970699;92.70666666666666;92.59;92.77;1.0497570130560132;1.0430664499600728;1.0543285687764485;0.41267239261180794;0.4114432196667854;0.4134002015945759
6;Round 6;85.69609316303531;92.30333333333333;92.24;92.36;1.2299188613891603;1.2248565157254536;1.234415626525879;0.44594460704647904;0.4450493606481146;0.4471377628914853
7;Round 7;89.6228399699474;92.00333333333333;91.78;92.18;1.4080392016304863;1.4055439670880636;1.4106980204582213;0.47878940534507125;0.47751083760819535;0.4812212397443487
8;Round 8;92.45755071374906;91.75;91.58;91.92;1.5844866765869987;1.5824601292610168;1.5875429232915244;0.5223314467685443;0.5204924543487265;0.5249550614585268
9;Round 9;94.50338091660406;91.23333333333333;91.02;91.46;1.7631272700097824;1.7596884846687317;1.767536699771881;0.5701459367013147;0.5665729209463647;0.5754585723927681
10;Round 10;95.9800901577761;91.01666666666667;90.8;91.31;1.9417455063925848;1.9363338390986125;1.944894548257192;0.6254352850060091;0.6187206037501072;0.6349190252892515
11;Round 11;97.04583020285502;90.69;90.54;90.92;2.1207063184844124;2.116589665412903;2.123270658651988;0.6834086218201522;0.6749919143128902;0.6981092201902511
12;Round 12;97.81592787377912;90.31666666666666;90.23;90.48;2.3005170782407127;2.2989589889844257;2.3030571977297467;0.7404121053768389;0.7311678625801776;0.7539465358282658
13;One_shot;;;;;;;;;;
