;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;92.54;92.37;92.65;0.15611607498592803;0.15599066416422527;0.15622196992238363;0.6104239322403644;0.6031662483798697;0.616173018673633
1;Round 1;27.76671675432006;93.00999999999999;92.94;93.06;0.3331436845991347;0.33240313132603966;0.33438123067220055;0.4529208997885386;0.44669526155958783;0.4570023848021284
2;Round 2;47.809166040571;93.26333333333334;93.05;93.42;0.5145666559537251;0.5126718799273173;0.5167036374409993;0.39918434626244487;0.39212024712816196;0.40462961165194816
3;Round 3;62.27610818933133;93.39666666666666;93.15;93.55;0.6921066019270156;0.689348820845286;0.693851641813914;0.3813006596785065;0.37447248361212143;0.3867966391938798
4;Round 4;72.7182569496619;93.15333333333332;93.04;93.22;0.868763956758711;0.8651607712109883;0.8710585395495097;0.38372343890633137;0.3786659638932411;0.38670849178699734
5;Round 5;80.25582268970699;93.01333333333334;92.81;93.18;1.0466537396113078;1.0434142033259073;1.048415982723236;0.40569594811040455;0.40003059994667134;0.4105417379673491
6;Round 6;85.6962183821688;92.67333333333333;92.56;92.74;1.2250925858815511;1.220685855547587;1.2301603436470032;0.4391039112358228;0.4371979663980768;0.4408153905513439
7;Round 7;89.6228399699474;92.30000000000001;92.15;92.46;1.402386592494117;1.3973779678344727;1.4100936333338419;0.4745258201309975;0.4730552058904729;0.4755478244512639
8;Round 8;92.45755071374906;91.96;91.88;92.11;1.579942384031084;1.570895997683207;1.5911144296328226;0.5182043280584593;0.5155632459736885;0.5208330899477005
9;Round 9;94.50338091660406;91.50666666666666;91.33;91.72;1.7568860981199474;1.74886794090271;1.768718918164571;0.5657238022655461;0.561210317878013;0.5697283432838764
10;Round 10;95.9800901577761;91.14;90.95;91.34;1.9326248155699837;1.9244174838066102;1.9447415749231973;0.6208519777930376;0.6165536121485081;0.6249193383658186
11;Round 11;97.04583020285502;90.78333333333335;90.59;91.11;2.1088387529055277;2.100980512301127;2.1225882609685263;0.6780131130353779;0.6726071156719897;0.6830014212968502
12;Round 12;97.81592787377912;90.43666666666667;90.14;90.77;2.286444677246941;2.2778377016385396;2.3001160542170207;0.7392171688747745;0.7291018917205486;0.7461636235739323
13;One_shot;;;;;;;;;;
