;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;97.53333333333332;97.46;97.57;1.0819598211182488;1.0336321433385214;1.1624243259429932;0.058547432671783244;0.057807068487114095;0.05969844082806339
1;Round 1;32.31404958677686;97.76333333333334;97.71;97.79;2.213018556435903;2.141231946150462;2.337822457154592;0.04786311450764431;0.0468513498716849;0.04932002951490118
2;Round 2;54.16679188580016;97.88;97.83;97.97;3.350632150967916;3.205275332927704;3.517892301082611;0.04296397715410654;0.042269551432988745;0.044147111047455605
3;Round 3;68.94477836213373;97.87333333333333;97.82;97.93;4.487638942400614;4.300855437914531;4.666294729709625;0.04258691131117496;0.04190992670173341;0.04338089574049128
4;Round 4;78.93839218632607;97.85666666666667;97.8;97.91;5.62200037770801;5.383723131815592;5.800350940227508;0.04547275490530417;0.04482172171169139;0.046470736268352957
5;Round 5;85.69609316303531;97.88333333333333;97.84;97.92;6.746860799524519;6.490076585610708;6.9461085875829065;0.04990326160868854;0.049341824809287456;0.05090646936379849
6;Round 6;90.26596543951916;97.79666666666667;97.73;97.9;7.901036836041345;7.6576257665952046;8.129430230458578;0.055011802840423084;0.053990861662524814;0.05605222037497987
7;Round 7;93.35612321562735;97.74333333333334;97.74;97.75;9.064296849568684;8.796926140785217;9.312554327646891;0.06000946290817455;0.059062905118186425;0.06067903371171114
8;Round 8;95.44628099173553;97.56666666666666;97.5;97.67;10.18842553562588;9.882950071493784;10.473375443617503;0.06540954481440443;0.06398612652766578;0.0663640300485682
9;Round 9;96.85950413223141;97.48666666666668;97.39;97.54;11.331657147407533;10.967001938819886;11.654285756746928;0.07220655132534233;0.07056062144643449;0.07341903915747683
10;Round 10;97.81592787377912;97.27333333333333;97.25;97.31;12.466258562935723;12.050344677766164;12.813014956315358;0.08139313791237825;0.08117943835702349;0.08157683430199927
11;One_shot;;;;;;;;;;
