;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min);Avg Final Training Loss;Min Final Training Loss;Max Final Training Loss
0;Initial model;0.0;97.59666666666668;97.48;97.73;1.070992953247494;1.0544052640597026;1.0904551148414612;0.05825730950327207;0.05781372676979988;0.05869368548564454
1;Round 1;32.31404958677686;97.7;97.68;97.73;2.1586515638563366;2.150583537419637;2.1706774393717447;0.047740407096525876;0.047412514690547546;0.04792362361987854
2;Round 2;54.16679188580016;97.79666666666667;97.76;97.83;3.239625309573279;3.2371912399927774;3.241374905904134;0.042898478487123415;0.04266846113778809;0.04332209879413564
3;Round 3;68.94477836213373;97.83666666666666;97.76;97.88;4.335237573252784;4.327293610572815;4.344855451583863;0.04266855643520542;0.042175317944047296;0.04351534455063495
4;Round 4;78.93839218632607;97.83999999999999;97.77;97.89;5.458196106221941;5.431831435362498;5.5068490942319235;0.045093333204640144;0.04463244815297583;0.045852174463265755
5;Round 5;85.69609316303531;97.80000000000001;97.7;97.9;6.559712277518378;6.515721742312113;6.593035777409871;0.04997033938659844;0.04984810342021445;0.050210316883439715
6;Round 6;90.26596543951916;97.79333333333334;97.69;97.91;7.651551417509715;7.597348721822103;7.692254439989726;0.05494235859430851;0.054528231395685925;0.05547801050099921
7;Round 7;93.35612321562735;97.77333333333333;97.71;97.85;8.75656764904658;8.719490094979603;8.788425079981486;0.06002014945426309;0.0593325100997661;0.061082424976407215
8;Round 8;95.44628099173553;97.63333333333333;97.57;97.72;9.851976221137576;9.804532237847646;9.904937795797984;0.06592288655592195;0.06470993282471565;0.06788294471483282
9;Round 9;96.85950413223141;97.40666666666668;97.28;97.51;10.936157557699417;10.910364973545075;10.979471600055694;0.07284925018589125;0.0713136280470706;0.07474604788771336
10;Round 10;97.81592787377912;97.27;97.08;97.44;12.04973548915651;12.002847266197204;12.128646357854207;0.08143267222805649;0.07898890457730344;0.08423272787414966
11;One_shot;;;;;;;;;;
