;Round;Pruning Percentage;Avg Test Accuracy (with training);Min Test Accuracy (with training);Max Test Accuracy (with training);Avg Time (min);Min Time (min);Max Time (min)
0;Initial model;0.0;97.52;97.5;97.54;1.3742972731590273;1.361703884601593;1.3866355776786805
1;Round 1;25.837340345604805;97.86333333333333;97.77;97.92;2.784176119168599;2.731213613351186;2.833600982030233
2;Round 2;44.98685199098421;97.98666666666668;97.93;98.04;4.17968381245931;4.091231922308604;4.266625062624613
3;Round 3;59.17918858001503;98.06333333333333;97.96;98.15;5.5494275675879585;5.45837496916453;5.627016007900238
4;Round 4;69.69759579263712;98.05333333333334;98.0;98.12;6.985687699582841;6.905250271161397;7.097573375701904
5;Round 5;77.49286250939143;98.09666666666668;98.04;98.17;8.433083822992112;8.35534158150355;8.479017821947734
6;Round 6;83.27084898572502;98.09666666666668;98.06;98.12;9.802725270059375;9.696868367989858;9.867340981960297
7;Round 7;87.5525920360631;98.11;98.02;98.27;11.204319596290588;11.126639902591705;11.252178792158762
8;Round 8;90.72614575507139;98.10333333333334;97.99;98.21;12.602321276399826;12.528765877087912;12.650923212369284
9;Round 9;93.07813673929377;98.08999999999999;98.02;98.14;14.009642822212642;13.941743735472361;14.08871694803238
10;Round 10;94.82156273478587;97.67333333333333;97.62;97.77;15.386548758877646;15.314528691768647;15.463263877232869
11;One_shot;;;;;;;
